"author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","platform","subgroup","ROB.low.","moderate","critical","outcome","study.type","study"
"Cerqueira-Silva, 2021",362,5,131,1582,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-inactivated","",NA,NA,NA,"severe","CC","Cerqueira-Silva, 2021-362"
"Ella, 2021",107,6,1,8471,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-inactivated","overall",NA,NA,NA,"severe","RCT","Ella, 2021-107"
"Sadoff, 2021",281,7,105,19514,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-adeno","overall",NA,NA,NA,"severe","RCT","Sadoff, 2021-281"
"Sadoff, 2022",289,7,484,19400,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","Any SARS-COV-2","all","all","all","all","all","one-dose-adeno","overall",NA,NA,NA,"severe","RCT","Sadoff, 2022-289"
"Cerqueira-Silva, 2021",362,7,7,62,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-adeno","",NA,NA,NA,"severe","CC","Cerqueira-Silva, 2021-362"
"Cerqueira-Silva, 2021",362,8,57,399,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-inactivated","",NA,NA,NA,"severe","CC","Cerqueira-Silva, 2021-362"
"Glatman-Freedman, 2021b",147,9,393,7166,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-mRNA","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-147"
"Glatman-Freedman, 2021b",148,9,364,3631,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-mRNA","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-148"
"Glatman-Freedman, 2021b",149,9,170,785,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-mRNA","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-149"
"Polack, 2020",257,9,1,21669,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-mRNA","overall",NA,NA,NA,"severe","RCT","Polack, 2020-257"
"Cerqueira-Silva, 2021",362,9,34,312,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-mRNA","",NA,NA,NA,"severe","CC","Cerqueira-Silva, 2021-362"
"Cerqueira-Silva, 2021",362,10,159,1264,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-adeno","",NA,NA,NA,"severe","CC","Cerqueira-Silva, 2021-362"
"barda, 2021",28,11,10,80925,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"three-dose-mRNA","overall",NA,NA,NA,"severe","RC","barda, 2021-28"
