,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,,,,,,,,,,,,,,,,,,,,
resdev[14],1.965586918,1.926317191,0.045066526,0.594204706,1.374510865,2.741799583,7.089762712,1.000542373,3000,,,,,,,,,,,,,,,,,,,,
resdev[15],1.467575628,1.525543522,0.031978994,0.400780307,0.952124197,2.029871282,5.508818572,1.001753823,3000,,,,,,,,,,,,,,,,,,,,
resdev[16],1.642898599,1.563510362,0.053714709,0.536386826,1.204322621,2.257388699,5.889173762,1.008505631,270,,,,,,,,,,,,,,,,,,,,
resdev[17],1.950262861,1.647509061,0.127468703,0.848145695,1.506854831,2.561928547,6.316319227,1.014806555,150,,,,,,,,,,,,,,,,,,,,
resdev[18],3.039229221,2.583583235,0.212799731,1.159479361,2.37606534,4.171277099,9.595431756,1.006720106,390,,,,,,,,,,,,,,,,,,,,
resdev[19],1.997116261,1.941731353,0.050826436,0.594622803,1.419303594,2.767075657,7.295803918,1.00062339,3000,,,,,,,,,,,,,,,,,,,,
resdev[20],3.999238216,2.815902746,0.498669233,1.921021447,3.291839289,5.411061154,11.0488884,1.001883385,1400,,,,,,,,,,,,,,,,,,,,
resdev[21],3.804238768,2.663053185,0.48865833,1.838283744,3.162250516,5.17769535,10.39161492,1.00290435,830,,,,,,,,,,,,,,,,,,,,
resdev[22],2.152933873,2.198643802,0.049800651,0.623678551,1.460102593,2.988662346,8.149762275,1.001920383,1400,,,,,,,,,,,,,,,,,,,,
resdev[23],2.029771327,2.00146798,0.045217975,0.588306942,1.44656599,2.792009311,7.592531122,1.009067848,300,,,,,,,,,,,,,,,,,,,,
resdev[24],2.778797496,2.222772389,0.211493468,1.119797194,2.191184631,3.857839912,8.37931606,1.018038495,130,,,,,,,,,,,,,,,,,,,,
resdev[25],2.934020928,2.394175293,0.210548932,1.198333439,2.282593681,3.982450213,9.029139905,1.00381634,930,,,,,,,,,,,,,,,,,,,,
resdev[26],2.069552754,2.087353126,0.052333974,0.559074523,1.39671684,2.929590027,7.957431104,1.002793482,2100,,,,,,,,,,,,,,,,,,,,
resdev[27],1.958848564,2.039395799,0.055550432,0.562500021,1.292720824,2.664271443,7.708168273,1.008381905,1000,,,,,,,,,,,,,,,,,,,,
resdev[28],8.906053189,4.229654748,2.629189948,5.809442165,8.178004166,11.27761526,18.92072186,1.001418663,2200,,,,,,,,,,,,,,,,,,,,
resdev[29],2.870185537,2.227637973,0.222762893,1.238668828,2.352050044,3.913533294,8.763990347,1.001161333,3000,,,,,,,,,,,,,,,,,,,,
resdev[30],2.699329919,2.557554648,0.077048331,0.840419462,1.928350748,3.772907215,9.476803067,1.005757323,450,,,,,,,,,,,,,,,,,,,,
resdev[31],1.889371036,1.899968918,0.047146491,0.538623603,1.31143034,2.64973003,7.025190057,1.00242352,1500,,,,,,,,,,,,,,,,,,,,
resdev[32],2.957322709,2.413616164,0.228020415,1.189690679,2.345213909,4.096086278,9.410791086,1.001192898,3000,,,,,,,,,,,,,,,,,,,,
resdev[33],3.012976996,2.397779697,0.214503443,1.276827938,2.424980042,4.126655954,9.2429701,1.003025077,790,,,,,,,,,,,,,,,,,,,,
resdev[34],1.665047954,1.649790693,0.037467554,0.477612987,1.182063854,2.315826758,5.919596278,1.001181489,2900,,,,,,,,,,,,,,,,,,,,
resdev[35],1.810722777,1.810256054,0.047022231,0.511611362,1.24404182,2.506751311,6.755531485,1.001926441,1400,,,,,,,,,,,,,,,,,,,,
resdev[36],1.902589088,1.762643676,0.058357328,0.631310212,1.434740455,2.661282714,6.376632652,1.003907915,2800,,,,,,,,,,,,,,,,,,,,
resdev[37],1.871203445,1.897843482,0.045838649,0.521843298,1.281288312,2.591050739,6.994995313,1.001528014,3000,,,,,,,,,,,,,,,,,,,,
resdev[38],3.654528322,3.286732811,0.127242076,1.204768078,2.721530414,5.170263732,12.25810508,1.000768634,3000,,,,,,,,,,,,,,,,,,,,
resdev[39],1.918929955,1.870893249,0.054532888,0.583942511,1.361627074,2.628970329,6.856830848,1.003100338,770,,,,,,,,,,,,,,,,,,,,
resdev[40],4.843908095,3.127117227,0.743679534,2.517666495,4.222344274,6.424494269,12.80519316,1.000523142,3000,,,,,,,,,,,,,,,,,,,,
resdev[41],3.013550341,2.430509107,0.209041893,1.25698738,2.419646979,4.13596631,9.132027012,1.00167951,1700,,,,,,,,,,,,,,,,,,,,
resdev[42],2.960831096,2.372106992,0.215554849,1.228167376,2.355297254,4.055791308,9.456264914,1.000669962,3000,,,,,,,,,,,,,,,,,,,,
resdev[43],3.93587618,2.768289834,0.537146069,1.917201797,3.243300997,5.318825251,10.85997877,1.000499827,3000,,,,,,,,,,,,,,,,,,,,
resdev[44],2.928112967,2.352025726,0.190407377,1.222420283,2.309080113,3.970798354,8.96173159,1.002628145,1800,,,,,,,,,,,,,,,,,,,,
rk[1],14,1.789645759,10,13,15,16,17,1.006425978,420,,,,,,,,,,,,,,,,,,,,
rk[2],16,1.992066515,10,16,17,17,17,1.001792154,2400,,,,,,,,,,,,,,,,,,,,
rk[3],5,1.71672558,2,4,5,6,9,1.000771882,3000,,,,,,,,,,,,,,,,,,,,
rk[4],5,1.79633344,2,4,5,6,9,1.002151808,1200,,,,,,,,,,,,,,,,,,,,
rk[5],12,2.889407572,5,10,12,14,16,1.004503068,770,,,,,,,,,,,,,,,,,,,,
rk[6],11,4.4693867,3,7,11,15,17,1.001143493,3000,,,,,,,,,,,,,,,,,,,,
rk[7],7,2.744294454,2,5,7,8,14,1.001272514,2600,,,,,,,,,,,,,,,,,,,,
rk[8],11,3.237650848,4,9,11,13,16,1.005014424,450,,,,,,,,,,,,,,,,,,,,
rk[9],11,2.717539309,5,9,11,13,16,1.001374984,2300,,,,,,,,,,,,,,,,,,,,
rk[10],10,2.639847015,6,8,10,12,16,1.000653464,3000,,,,,,,,,,,,,,,,,,,,
rk[11],10,2.945124885,5,8,10,12,16,1.000595332,3000,,,,,,,,,,,,,,,,,,,,
rk[12],12,2.344325811,7,10,12,13,16,1.001105155,3000,,,,,,,,,,,,,,,,,,,,
rk[13],13,2.917940658,6,12,14,16,17,1.001109166,3000,,,,,,,,,,,,,,,,,,,,
rk[14],5,2.769388873,1,3,4,6,12,1.001445898,2100,,,,,,,,,,,,,,,,,,,,
rk[15],4,4.209046596,1,1,2,4,17,1.001668442,1700,,,,,,,,,,,,,,,,,,,,
rk[16],3,2.770171686,1,2,3,4,12,1.000689992,3000,,,,,,,,,,,,,,,,,,,,
rk[17],4,4.271683468,1,1,2,5,17,1.004610634,490,,,,,,,,,,,,,,,,,,,,
sdALL,0.506953883,0.34231805,0.026551611,0.240888601,0.453262256,0.713204536,1.303277582,1.004930714,920,,,,,,,,,,,,,,,,,,,,
sdCC,1.006175866,0.235249409,0.63804256,0.837230654,0.973553379,1.140255529,1.529687451,1.001040078,3000,,,,,,,,,,,,,,,,,,,,
sdPC,1.267631632,0.382039403,0.713079121,0.997147786,1.204343597,1.456448452,2.204018575,1.001449644,2100,,,,,,,,,,,,,,,,,,,,
sdRC,2.313864157,0.629383535,1.346086769,1.868627814,2.232999569,2.657135543,3.780957497,1.001795776,1500,,,,,,,,,,,,,,,,,,,,
sdRCT,0.170793774,0.133348464,0.008128041,0.070152988,0.143131346,0.239179513,0.51088387,1.009547306,340,,,,,,,,,,,,,,,,,,,,
totresdev,109.5506019,14.76035608,82.33478272,99.22688454,108.757423,119.0294968,139.9251571,1.003267172,720,,,,,,,,,,,,,,,,,,,,
