,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
resdev[34],2.104772407,2.004104392,0.049016709,0.568306315,1.506911669,3.100026004,7.15290563,1.00134206,2400
resdev[35],2.977694335,2.41900176,0.234376306,1.152059308,2.372432305,4.054105261,9.173215998,1.002122298,1700
resdev[36],2.962786253,2.3814695,0.20989106,1.198089891,2.365508806,4.09536252,8.834035517,1.001394505,3000
resdev[37],3.012872901,2.412893816,0.209067852,1.223806291,2.412060318,4.181976667,9.012015239,1.001559265,1900
resdev[38],1.728891452,1.552858328,0.0580427,0.566096678,1.250976015,2.423289479,5.764086862,1.06397184,58
resdev[39],4.033547148,2.597245137,0.513433557,1.98294271,3.631543246,5.41864894,10.01398036,1.206375759,19
rk[1],7,0.719145056,5,6,7,7,7,1.016702823,210
rk[2],4,1.262770665,2,3,3,4,6,1.001163711,3000
rk[3],4,1.86580634,1,2,4,6,7,1.006214861,630
rk[4],4,1.524410651,1,3,4,5,7,1.000910178,3000
rk[5],4,1.283771363,2,3,4,5,6,1.009249844,230
rk[6],5,1.930053866,1,3,5,6,7,1.009728972,360
rk[7],1,0.736921914,1,1,1,1,3,1.025594521,130
sdALL,0.637982632,0.459158079,0.033046147,0.323561911,0.553292809,0.840956454,1.800109778,1.016408106,130
sdCC,0.841458721,0.135853351,0.61711518,0.744462577,0.827179065,0.923610919,1.159303711,1.005781785,380
sdPC,1.377229264,0.985986576,0.402941449,0.742618443,1.107240617,1.675993881,4.084378825,1.071168093,33
sdRC,1.130282758,0.420346423,0.596405452,0.838003512,1.048598836,1.309657999,2.15371341,1.00084571,3000
sdRCT,4.056497769,2.756851364,0.167224809,1.73542531,3.53936741,6.170864414,9.486498136,1.024696256,110
totresdev,96.4953076,17.44201605,68.23893899,84.34804079,94.57175996,105.8191843,138.0135164,1.013901836,300
