,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
"lor[7,11]",-0.850306078,3.770422233,-7.985027575,-2.83512703,-0.965988616,1.093471123,6.827057363,1.005205432,460
"lor[8,11]",-1.265874388,5.172958845,-10.85932695,-4.093185882,-1.73549556,1.23580157,10.43226454,1.004139066,550
"lor[9,11]",-0.151016314,4.098626235,-8.670069196,-2.404077853,-0.174474535,2.135932399,8.119243506,1.011672956,190
"lor[10,11]",1.06027286,4.134495043,-7.406937892,-0.975147577,0.819723634,3.028218159,10.0211613,1.004846675,620
resdev[1],1.962617338,1.990424157,0.048412338,0.517845231,1.337130284,2.779460879,7.287500156,1.000693619,3000
resdev[2],2.054916579,2.007341035,0.051903557,0.583641472,1.444676901,2.844077693,7.428383022,1.005626687,550
resdev[3],1.970245712,2.039729215,0.04763938,0.565469879,1.311013065,2.744388901,7.246617985,1.000881401,3000
resdev[4],2.231332282,2.225032149,0.051657137,0.648853465,1.544441167,3.137372563,7.767600913,1.001263885,2600
resdev[5],2.019211359,2.028256785,0.061302542,0.570677557,1.407153903,2.804810973,7.556594277,1.001152681,3000
resdev[6],2.01080509,2.036522569,0.046740546,0.607060847,1.384044823,2.743730043,7.792805889,1.001556054,3000
resdev[7],2.964209478,2.384972385,0.208545317,1.254312836,2.409871164,4.02870014,9.294722634,1.004051262,570
resdev[8],3.059261481,2.412445472,0.256671508,1.263029603,2.481120118,4.151931967,9.541753124,1.001059179,3000
resdev[9],2.709629152,2.606976698,0.03827385,0.534901204,1.962589293,4.161107862,9.592160981,1.023653963,100
resdev[10],10.64985058,7.341107274,1.686045602,3.962466923,8.692512878,15.96185885,25.3372479,1.452457565,8
resdev[11],5.013082199,3.207023403,0.864867592,2.678193041,4.313735865,6.606391845,13.07557754,1.000871339,3000
resdev[12],2.180823983,2.059233882,0.054152355,0.66064505,1.594945707,3.056621229,7.781652673,1.001536571,1900
resdev[13],2.199476741,2.17723642,0.048323533,0.647383231,1.493806614,3.101748813,8.177440543,1.011430034,190
rk[1],7,1.652417436,4,6,7,8,10,1.003076255,780
rk[2],6,2.535020447,1,4,6,8,11,1.002452802,1000
rk[3],5,3.154590206,1,2,5,8,11,1.009751455,220
rk[4],6,2.708240915,1,3,5,8,11,1.001320097,2400
rk[5],5,3.229687234,1,2,5,8,11,1.000976716,3000
rk[6],6,3.264523146,1,3,6,9,11,1.003829933,600
rk[7],7,2.963098582,1,5,8,10,11,1.001077723,3000
rk[8],7,3.614475485,1,4,9,11,11,1.001096459,3000
rk[9],6,3.272037994,1,3,6,9,11,1.003127481,760
rk[10],4,3.285408494,1,2,3,7,11,1.001920569,1400
rk[11],6,3.150465156,1,3,5,8,11,1.015085999,150
sdALL,1.840327644,1.66010333,0.058980055,0.662304368,1.385159597,2.555744028,6.53292425,1.006881005,320
sdCC,2.707621393,2.239716078,0.092741956,0.931806033,2.124547374,3.89048527,8.594767703,1.00232438,1100
sdPC,4.07255899,2.798503089,0.152067984,1.583072038,3.648037292,6.340802164,9.541071177,1.000796255,3000
sdRC,1.795757913,0.894714186,0.748640517,1.201304279,1.567484152,2.123782989,4.351803307,1.001102423,3000
totresdev,41.02546197,10.43548283,23.28941226,33.19826776,40.50470305,47.61389295,63.11932453,1.163307584,17
